date,species,factor,table_number,pot_number,mass
22/07/2021,Salvia columbariae,Low,1,1,0.113
22/07/2021,Salvia columbariae,Low,1,2,0.001
22/07/2021,Salvia columbariae,Low,1,3,0
22/07/2021,Salvia columbariae,Low,1,4,0.177
22/07/2021,Salvia columbariae,Low,1,5,0.084
22/07/2021,Salvia columbariae,Low,1,6,0.103
22/07/2021,Salvia columbariae,Low,1,7,0.001
22/07/2021,Salvia columbariae,Low,1,8,0.001
22/07/2021,Salvia columbariae,Low,1,9,0.002
22/07/2021,Salvia columbariae,Low,1,10,0.08
22/07/2021,Salvia columbariae,Low,1,11,0.063
22/07/2021,Salvia columbariae,Low,1,12,0.001
22/07/2021,Salvia columbariae,Low,1,13,0.04
22/07/2021,Salvia columbariae,Low,1,14,0
22/07/2021,Salvia columbariae,Low,1,15,0
22/07/2021,Salvia columbariae,Low,1,16,0.01
22/07/2021,Salvia columbariae,Low,1,17,0
22/07/2021,Salvia columbariae,Low,1,18,0.001
22/07/2021,Salvia columbariae,Low,1,19,0.065
22/07/2021,Salvia columbariae,Low,1,20,0
22/07/2021,Salvia columbariae,Low,1,21,0.036
22/07/2021,Salvia columbariae,Low,1,22,0.001
22/07/2021,Salvia columbariae,Low,1,23,0
22/07/2021,Salvia columbariae,Low,1,24,0
22/07/2021,Salvia columbariae,Low,1,25,0.001
22/07/2021,Salvia columbariae,Low,1,26,0
22/07/2021,Salvia columbariae,Low,1,27,0
22/07/2021,Salvia columbariae,Low,1,28,0
22/07/2021,Salvia columbariae,Low,1,29,0
22/07/2021,Salvia columbariae,Low,1,30,0.001
22/07/2021,Salvia columbariae,Low,1,31,0.001
22/07/2021,Salvia columbariae,Low,1,32,0
22/07/2021,Salvia columbariae,Low,1,33,0.185
22/07/2021,Salvia columbariae,Low,1,34,0
22/07/2021,Salvia columbariae,Low,1,35,0.016
22/07/2021,Salvia columbariae,Low,1,36,0
22/07/2021,Salvia columbariae,Low,1,37,0.168
22/07/2021,Salvia columbariae,Low,1,38,0
22/07/2021,Salvia columbariae,Low,1,39,0
22/07/2021,Salvia columbariae,Low,1,40,0
22/07/2021,Salvia columbariae,Low,1,41,0.349
22/07/2021,Salvia columbariae,Low,1,42,0.192
22/07/2021,Salvia columbariae,Low,1,43,0
22/07/2021,Salvia columbariae,Low,1,44,0
22/07/2021,Salvia columbariae,Low,1,45,0.005
22/07/2021,Salvia columbariae,Low,1,46,0.014
22/07/2021,Salvia columbariae,Low,1,47,0
22/07/2021,Salvia columbariae,Low,1,48,0
22/07/2021,Salvia columbariae,Low,1,49,0
22/07/2021,Salvia columbariae,Low,1,50,0
22/07/2021,Salvia columbariae,Low,1,51,0.058
22/07/2021,Salvia columbariae,Low,1,52,0.008
22/07/2021,Salvia columbariae,Low,1,53,0.067
22/07/2021,Salvia columbariae,Low,1,54,0.116
22/07/2021,Salvia columbariae,Low,1,55,0.074
22/07/2021,Salvia columbariae,Low,1,56,0.292
22/07/2021,Salvia columbariae,Low,1,57,0.242
22/07/2021,Salvia columbariae,Low,1,58,0
22/07/2021,Salvia columbariae,Low,1,59,0.111
22/07/2021,Salvia columbariae,Low,1,60,0.123
22/07/2021,Salvia columbariae,Low,1,61,0
22/07/2021,Salvia columbariae,Low,1,62,0
22/07/2021,Salvia columbariae,Low,1,63,0.147
22/07/2021,Salvia columbariae,Low,1,64,0
22/07/2021,Salvia columbariae,Low,1,65,0.271
22/07/2021,Salvia columbariae,Low,1,66,0.17
22/07/2021,Salvia columbariae,Low,1,67,0.044
22/07/2021,Salvia columbariae,Low,1,68,0
22/07/2021,Salvia columbariae,Low,1,69,0.153
22/07/2021,Salvia columbariae,Low,1,70,0
02/06/2021,Layia platyglossa,Low,1,1,0.097
02/06/2021,Layia platyglossa,Low,1,2,0.108
02/06/2021,Layia platyglossa,Low,1,3,0.262
02/06/2021,Layia platyglossa,Low,1,4,0.001
02/06/2021,Layia platyglossa,Low,1,5,0.001
02/06/2021,Layia platyglossa,Low,1,6,0.02
02/06/2021,Layia platyglossa,Low,1,7,0.078
02/06/2021,Layia platyglossa,Low,1,8,0.318
02/06/2021,Layia platyglossa,Low,1,9,0.125
02/06/2021,Layia platyglossa,Low,1,10,0.005
02/06/2021,Layia platyglossa,Low,1,11,0.014
02/06/2021,Layia platyglossa,Low,1,12,0.198
02/06/2021,Layia platyglossa,Low,1,13,0.299
02/06/2021,Layia platyglossa,Low,1,14,0.179
02/06/2021,Layia platyglossa,Low,1,15,0.001
02/06/2021,Layia platyglossa,Low,1,16,0.008
02/06/2021,Layia platyglossa,Low,1,17,0.001
02/06/2021,Layia platyglossa,Low,1,18,0.055
02/06/2021,Layia platyglossa,Low,1,19,0.001
02/06/2021,Layia platyglossa,Low,1,20,0.088
02/06/2021,Layia platyglossa,Low,1,21,0.05
02/06/2021,Layia platyglossa,Low,1,22,0.241
02/06/2021,Layia platyglossa,Low,1,23,0.255
02/06/2021,Layia platyglossa,Low,1,24,0.073
02/06/2021,Layia platyglossa,Low,1,25,0.351
02/06/2021,Layia platyglossa,Low,1,26,0.177
02/06/2021,Layia platyglossa,Low,1,27,0.042
02/06/2021,Layia platyglossa,Low,1,28,0.12
02/06/2021,Layia platyglossa,Low,1,29,0.12
02/06/2021,Layia platyglossa,Low,1,30,0.135
02/06/2021,Layia platyglossa,Low,1,31,0.25
02/06/2021,Layia platyglossa,Low,1,32,0.104
02/06/2021,Layia platyglossa,Low,1,33,0.062
02/06/2021,Layia platyglossa,Low,1,34,0
02/06/2021,Layia platyglossa,Low,1,35,0.094
02/06/2021,Layia platyglossa,Low,1,36,0.421
02/06/2021,Layia platyglossa,Low,1,37,0.001
02/06/2021,Layia platyglossa,Low,1,38,0.001
02/06/2021,Layia platyglossa,Low,1,39,0.298
02/06/2021,Layia platyglossa,Low,1,40,0.183
02/06/2021,Layia platyglossa,Low,1,41,0.123
02/06/2021,Layia platyglossa,Low,1,42,0.001
02/06/2021,Layia platyglossa,Low,1,43,0.03
02/06/2021,Layia platyglossa,Low,1,44,0.031
02/06/2021,Layia platyglossa,Low,1,45,0.001
02/06/2021,Layia platyglossa,Low,1,46,0.018
02/06/2021,Layia platyglossa,Low,1,47,0.001
02/06/2021,Layia platyglossa,Low,1,48,0.001
02/06/2021,Layia platyglossa,Low,1,49,0.227
02/06/2021,Layia platyglossa,Low,1,50,0.038
02/06/2021,Layia platyglossa,Low,1,51,0.001
02/06/2021,Layia platyglossa,Low,1,52,0.001
02/06/2021,Layia platyglossa,Low,1,53,0.001
02/06/2021,Layia platyglossa,Low,1,54,0.156
02/06/2021,Layia platyglossa,Low,1,55,0.006
02/06/2021,Layia platyglossa,Low,1,56,0.074
02/06/2021,Layia platyglossa,Low,1,57,0.001
02/06/2021,Layia platyglossa,Low,1,58,0.001
02/06/2021,Layia platyglossa,Low,1,59,0
02/06/2021,Layia platyglossa,Low,1,60,0.208
02/06/2021,Layia platyglossa,Low,1,61,0.237
02/06/2021,Layia platyglossa,Low,1,62,0.087
02/06/2021,Layia platyglossa,Low,1,63,0.233
02/06/2021,Layia platyglossa,Low,1,64,0.001
02/06/2021,Layia platyglossa,Low,1,65,0.001
02/06/2021,Layia platyglossa,Low,1,66,0.001
02/06/2021,Layia platyglossa,Low,1,67,0.315
02/06/2021,Layia platyglossa,Low,1,68,0.222
02/06/2021,Layia platyglossa,Low,1,69,0.041
02/06/2021,Layia platyglossa,Low,1,70,0.001
09/09/2021,Bromus rubens,Low,1,1,0.064
09/09/2021,Bromus rubens,Low,1,2,0.024
09/09/2021,Bromus rubens,Low,1,3,0.01
